"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"09-12-2016",113.95,768.66,39.2,104.31,143.45,60.99,34.53,65.83,72.47,149.55,46.56,64.94
"12-12-2016",113.3,760.12,39.2,105.16,145.76,61.95,34.48,65.62,72.82,149.64,47.02,64.25
"13-12-2016",115.19,774.34,39.44,106.15,148.37,62.71,34.99,66.31,72.93,149.12,46.4,65.14
"14-12-2016",115.19,768.82,38.82,105.81,148.69,61.7,34.86,66.01,72.61,148.18,45.59,66.99
"15-12-2016",115.82,761,38.93,105.1,150.39,62.11,34.635,66.19,73.54,149.09,45.74,67.58
"16-12-2016",115.97,757.77,38.1,103.55,149.37,62.81,34.705,66.3,74.11,147.43,46.51,67.19
"19-12-2016",116.64,766,38.34,105.29,147.74,62.94,34.895,66.54,74.37,147.72,46.07,67.76
"20-12-2016",116.95,771.22,38.19,105.77,147.22,63.21,34.93,66.6,74.48,147.5,46.22,68.7
"21-12-2016",117.06,770.6,38.24,105.51,146.17,62.8,35.15,66.66,74.44,147.35,46.13,67.87
"22-12-2016",116.29,766.34,38.29,104.72,146.36,63.24,35.19,66.23,74.48,146.09,45.18,67.37
